City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,constantia,44.1833,28.65,11.5,66,37,2.29,RO,1730352196
131,breyten,-26.3018,29.987,13.18,71,65,3.89,ZA,1730352197
132,lorengau,-2.0226,147.2712,28.42,79,45,1.25,PG,1730352198
133,gereida,11.2811,25.1414,23.47,25,62,4.1,SD,1730352199
134,port-vila,-17.7338,168.3219,25.78,73,75,6.69,VU,1730352058
135,kolonia town,6.964,158.206,29.0,84,100,1.54,FM,1730352201
136,talakan,50.3167,130.3667,5.23,48,98,0.72,RU,1730352202
137,nabire,-3.3667,135.4833,31.87,58,58,2.95,ID,1730352203
138,mount gambier,-37.8333,140.7667,16.22,48,28,4.87,AU,1730352204
139,margaret river,-33.95,115.0667,20.79,63,82,4.44,AU,1730352206
140,zhanaozen,43.3,52.8,10.18,84,1,1.34,KZ,1730352207
141,kievka,50.2619,71.5514,2.32,99,100,4.57,KZ,1730352208
142,puerto baquerizo moreno,-0.9,-89.6,20.56,85,100,3.4,EC,1730352209
143,kotlas,61.2611,46.6556,0.76,97,100,3.09,RU,1730352210
144,kingston,17.997,-76.7936,26.76,83,20,0.51,JM,1730352211
145,codrington,-38.2667,141.9667,13.51,62,99,5.91,AU,1730352213
146,ilulissat,69.2167,-51.1,-6.99,32,40,10.29,GL,1730352214
147,qaqortoq,60.7167,-46.0333,-11.61,57,1,2.82,GL,1730352215
148,jacmel,18.2342,-72.5347,24.62,87,86,1.1,HT,1730352216
149,quzhou,28.9594,118.8686,18.87,81,100,3.89,CN,1730352217
150,island harbour,50.724,-1.2758,12.21,72,70,3.19,GB,1730352218
151,yanbu,24.0891,38.0637,27.02,47,20,1.54,SA,1730352219
152,port mathurin,-19.6833,63.4167,23.15,66,23,7.18,MU,1730352220
153,albany,42.6001,-73.9662,17.11,77,100,0.89,US,1730352221
154,tokar,18.4254,37.729,30.27,47,81,1.0,SD,1730352223
155,la'ie,21.6477,-157.9253,25.06,82,3,3.58,US,1730352224
156,kartaly,53.0522,60.6467,0.99,87,98,2.67,RU,1730352225
157,san patricio,28.017,-97.5169,25.97,88,1,4.75,US,1730352226
158,maun,-19.9833,23.4167,22.98,21,0,4.63,BW,1730352227
159,klyuchi,52.2667,79.1667,3.28,82,75,3.83,RU,1730352228
160,poteau,35.0537,-94.6236,25.88,69,100,10.8,US,1730352229
161,san carlos,9.6612,-68.5827,23.03,91,76,1.36,VE,1730352085
162,kisangani,0.5167,25.2,21.68,99,100,1.0,CD,1730352232
163,uray,60.1247,64.7758,0.76,86,100,4.27,RU,1730352233
164,lebu,-37.6167,-73.65,10.84,95,46,5.03,CL,1730352234
165,bratsk,56.1325,101.6142,-0.73,63,99,4.73,RU,1730352235
166,acarau,-2.8856,-40.12,25.01,80,70,5.65,BR,1730352236
167,vadso,70.0744,29.7487,-2.91,80,40,5.66,NO,1730352237
168,hithadhoo,-0.6,73.0833,27.4,63,56,1.2,MV,1730352238
169,kruisfontein,-34.0033,24.7314,14.73,73,0,2.08,ZA,1730352239
170,terra santa,-2.1042,-56.4869,26.27,62,42,1.55,BR,1730352241
171,kourou,5.1552,-52.6478,24.61,93,17,2.13,GF,1730352243
172,sao felix do xingu,-6.6447,-51.995,21.64,98,100,0.74,BR,1730352244
173,ust'-kulom,61.6864,53.6902,2.61,86,100,6.19,RU,1730352245
174,alofi,-19.0595,-169.9187,26.94,78,70,3.6,NU,1730352246
175,aral,40.5156,81.2636,14.89,32,26,2.95,CN,1730352247
176,zeya,53.75,127.2667,-0.04,61,100,1.12,RU,1730352248
177,brookings,44.3114,-96.7984,4.0,86,75,7.2,US,1730352241
178,vorgashor,67.5833,63.95,-8.28,95,88,3.23,RU,1730352251
179,dudinka,69.4058,86.1778,-10.24,95,100,5.57,RU,1730352252
180,verkhnevilyuysk,63.4453,120.3167,-16.04,88,92,0.23,RU,1730352253
181,barrouallie,13.2333,-61.2667,24.59,79,78,2.9,VC,1730352254
182,turpan,42.9333,89.1667,15.69,35,33,0.98,CN,1730352255
183,banchory,57.0517,-2.4882,8.05,99,100,2.33,GB,1730352256
184,remire-montjoly,4.9167,-52.2667,24.02,100,0,0.0,GF,1730352257
185,sidney,-33.8679,151.2073,24.63,68,75,6.69,AU,1730352236
186,funadhoo,6.15,73.2667,27.83,75,81,2.42,MV,1730352260
187,daru,-9.0763,143.2092,27.52,77,98,4.69,PG,1730352261
188,mananjary,-21.2167,48.3333,25.79,68,78,1.04,MG,1730352262
189,tiksi,71.6872,128.8694,-23.83,100,85,1.38,RU,1730352263
190,dapa,9.7594,126.0531,29.32,72,100,5.03,PH,1730352264
191,veraval,20.9,70.3667,30.84,50,4,3.2,IN,1730352265
192,lompoc,34.6391,-120.4579,10.51,86,100,2.68,US,1730352266
193,lazaro cardenas,17.9583,-102.2,25.84,87,68,1.44,MX,1730352267
194,timbiqui,2.7717,-77.6654,23.67,96,100,1.89,CO,1730352269
195,ishim,56.1128,69.4902,1.08,71,14,3.4,RU,1730352019
196,dalianwan,39.0286,121.695,22.02,40,0,2.0,CN,1730352271
197,xinyi,22.373,110.9475,28.86,36,70,4.41,CN,1730352272
198,bondo,3.8146,23.6866,20.86,99,100,0.39,CD,1730352273
199,chonchi,-42.6128,-73.8092,7.29,98,24,0.57,CL,1730352274
200,tari,-11.1105,14.3559,18.14,93,82,0.26,AO,1730352275
201,alaghsas,17.0187,8.0168,20.94,21,28,1.03,NE,1730352276
202,envira,-7.3,-70.2167,24.3,76,98,1.22,BR,1730352278
203,atafu village,-8.5421,-172.5159,28.43,67,99,5.77,TK,1730352279
204,udachny,66.4167,112.4,-14.02,94,95,1.61,RU,1730352280
205,princeville,45.7668,-61.2985,8.06,89,100,4.63,CA,1730352281
206,merizo village,13.2658,144.6691,31.31,81,7,7.92,GU,1730352282
207,cascais,38.6979,-9.4215,15.84,83,99,2.24,PT,1730352283
208,rio gallegos,-51.6226,-69.2181,11.03,76,0,4.12,AR,1730352284
209,melekeok village,7.4957,134.6367,31.31,70,75,3.6,PW,1730352285
210,beau vallon,-20.4189,57.6953,26.13,53,20,5.66,MU,1730352286
211,kharp,66.8014,65.8081,-5.97,97,99,1.24,RU,1730352288
212,moranbah,-22.0016,148.0466,34.52,15,51,0.55,AU,1730352289
213,qarazhal,48.0078,70.7903,7.05,66,100,8.95,KZ,1730352290
214,corinto,37.9407,22.9573,18.27,74,1,1.53,GR,1730352291
215,casimiro de abreu,-22.4806,-42.2042,17.62,93,2,1.36,BR,1730352292
216,cabo san lucas,22.8909,-109.9124,24.03,72,0,3.88,MX,1730352293
217,cooma,-36.2333,149.1333,21.56,20,99,5.88,AU,1730352294
218,nagqu,31.5,92.0,8.16,19,0,3.59,CN,1730352295
219,hammerfest,70.6634,23.6821,-0.75,93,100,7.72,NO,1730352296
220,egilsstadir,65.2653,-14.3948,-0.05,80,20,2.57,IS,1730352298
221,nowshahr,36.649,51.496,13.97,82,40,0.0,IR,1730352299
222,iskateley,67.6803,53.1512,0.21,94,100,8.35,RU,1730352300
223,huaiyuan chengguanzhen,32.9589,117.1657,21.71,44,0,4.91,CN,1730352301
224,tolanaro,-25.0319,46.9987,26.04,69,75,6.17,MG,1730352302
225,deqen,29.9618,90.7188,12.67,26,0,1.32,CN,1730352303
226,uzyn,49.8262,30.4149,11.37,81,100,6.5,UA,1730352304
227,tromso,69.6496,18.957,-0.99,86,75,5.66,NO,1730352305
228,arawa,-6.2132,155.5367,28.48,81,100,0.33,PG,1730352307
229,fortuna,40.5982,-124.1573,8.53,97,100,2.57,US,1730352308
230,mili,6.0815,171.735,28.55,68,75,0.77,MH,1730352309
231,yulinshi,38.2906,109.7494,10.83,86,100,2.72,CN,1730352310
232,bilmak,47.3624,36.6511,8.95,56,100,5.37,UA,1730352312
233,thompson,55.7435,-97.8558,-7.91,73,0,2.06,CA,1730352313
234,saynshand,44.8824,110.1163,6.87,36,83,6.73,MN,1730352315
235,saipan,15.1355,145.701,31.39,66,20,6.69,MP,1730352316
236,plouzane,48.3833,-4.6167,11.03,100,100,2.57,FR,1730352317
237,cidreira,-30.1811,-50.2056,20.32,84,65,10.37,BR,1730352318
238,st. john's,47.5649,-52.7093,0.99,83,0,3.6,CA,1730352320
239,umba,66.6871,34.3429,-0.04,76,95,6.74,RU,1730352321
240,masterton,-40.9597,175.6575,14.91,66,68,3.72,NZ,1730352322
241,pandan,14.0453,124.1694,29.41,75,100,6.24,PH,1730352325
242,huarmey,-10.0681,-78.1522,17.28,85,59,1.71,PE,1730352326
243,watton,53.9333,-0.45,11.64,93,100,5.14,GB,1730352327
244,alice springs,-23.7,133.8833,35.75,9,42,4.12,AU,1730352078
245,or yehuda,32.0311,34.8458,18.05,68,0,1.54,IL,1730352329
246,roye,49.7004,2.7896,10.37,94,4,2.27,FR,1730352330
247,tezpur,26.6333,92.8,26.06,79,68,1.23,IN,1730352331
248,tanumah,27.1,44.1333,21.07,70,36,8.0,SA,1730352332
249,saint-philippe,-21.3585,55.7679,22.72,70,68,5.37,RE,1730352334
250,ulladulla,-35.35,150.4667,17.17,77,98,4.7,AU,1730352335
251,tazovsky,67.4667,78.7,-5.52,94,100,4.64,RU,1730352336
252,lipsko,51.3396,12.3713,11.74,91,75,1.54,DE,1730352337
253,al qubbah,32.7616,22.2424,15.35,79,3,8.11,LY,1730352338
